feature,feature with no special characters,legend,Adapazar,Akn,Alashkert,Altun-Husein,Amasia,Arabkir,Aramo,Arjesh,ArtialKuti,Artial Suceava,Aslanbek,Aygetun,Ayntab,Baberd,Bardizag,Beylan,Bitlis,Charsanchag ,Chmshgadzak,Constantinople,Crimea,Darende,EdesiaUrfa,Erznkay,Eudokia,Evereg,Gamakh,Gelieguzan Sasun,Gop,Grabar,Gyumri,Gyurin,Hajin,HajiHabibli Svedia,Halvorig,Hamshen Mala,Hamshen Martil,Hamshen Zefanos,Hazzo,Jerusalem,Kesab Galaduran,Kabusiye,Karin,Kesaria,KharberdDersim,Khodorjur,Malatya,Manazkert,Marash,Marzvan,Middle Arm,Moks,Mush,Nicomedia,Nish,Ordu,Ozmi,Prknig,Rodosto,Sasun,Sebastia,Shabin-Karahisar,Shatakh,Sivrihisar,Smyrna,SWA,Syolyoz,Tigranakert,Tomarza,Trabzon,Van,Vartenis,Xlat,Xnus,Xtrbek,Yoghnoluk,YozgatGamirk,Zeytun,Shamakhi
-ilæ PTCP future,il PTCP future,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,1,?,?,?,0
-ilwor PTCP future,ilwor PTCP future,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,0,?,?,?,0
"uzel particle in fut. (g’uzem krem, uzum em grem) (7)",uzel particle in fut guzem krem uzum em grem 7,,0,0,0,0,0,0,0,0,0,1,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,0,0
m?n particle in fut.                                       100(8),mn particle in fut                                       1008,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,?,1,0,0,0,0,0,0,0,0,?,0,0
bidor future,bidor future,,0,0,0,0,0,0,0,0,1,1,0,0,?,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,0,?,?,?,0
b?r future,br future,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,1,?,?,?,0
bidi shows obligatoriness,bidi shows obligatoriness,,0,0,0,0,0,0,0,0,0,1,0,0,?,?,0,?,?,?,?,0,1,?,?,?,1,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,1,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,1,?,?,?,?
special postposed future ga/ka particle        100(9),special postposed future gaka particle        1009,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,?,0,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,0,0
"non-progressive hande, h?nd?, h?nde, h?nt?",nonprogressive hande hnd hnde hnt,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,?,?,?,?,1,?,0,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,?,1,1,?,?,?,?,?,1,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,?,?,0
doubled gu/g?/geu/etc.,doubled guggeuetc,,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,1,?,?,?,?,?,?,?,?,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,0
CA INF -il > el,CA INF il  el,,?,?,?,?,?,?,?,?,0,0,0,0,?,?,?,?,?,?,?,0,1,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,?,?,?
